Artist,Technique,Year,Type,Width (cm),Height (cm),Year of sale,Price (BRL),img_url,url,Sold,Technique_fix,Título,Década,Error,Descrição,Século,artist_link,Fonte de Pesquisa,Width,Height,Price (USD)
Marc Chagall,Gravura metal policromática,,Pinturas,23.3,29.0,2020,3000.0,https://catalogodashboard.pencillabs.com.br/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtXs-EaEYLi5Cbtqt2Dk_zR_MJ_i9QLl83FA&usqp=CAU,https://www.catalogodasartes.com.br/obra/PUeUGG/,False,reprodução,,,,,,,,,,
Marc Chagall,Gravura,,Pinturas,18.0,24.0,2013,400.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_112241.jpg,https://www.catalogodasartes.com.br/obra/DDGGUD/,False,reprodução,,,,,,,,,,
Marc Chagall,Litografia,,Pinturas,32.0,46.0,2009,7000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_37080.jpg,https://www.catalogodasartes.com.br/obra/zAece/,True,reprodução,,,,,,,,,,
Marc Chagall,litogravura,1940.0,Pinturas,58.0,46.0,2010,2200.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_44400.jpg,https://www.catalogodasartes.com.br/obra/UUUee/,True,reprodução,,,,,,,,,,
Marc Chagall,Litografia,,Pinturas,32.0,25.0,2020,200.0,https://catalogodashboard.pencillabs.com.br/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtXs-EaEYLi5Cbtqt2Dk_zR_MJ_i9QLl83FA&usqp=CAU,https://www.catalogodasartes.com.br/obra/PUcGtA/,False,reprodução,,,,,,,,,,
Marc Chagall,Litografia,,Pinturas,28.0,18.0,2023,2500.0,https://catalogodashboard.pencillabs.com.br/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtXs-EaEYLi5Cbtqt2Dk_zR_MJ_i9QLl83FA&usqp=CAU,https://www.catalogodasartes.com.br/obra/DDUPcUP/,False,reprodução,,,,,,,,,,
Marc Chagall,Gravura,,Pinturas,42.0,58.0,2015,650.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_205176.jpg,https://www.catalogodasartes.com.br/obra/GeBDAt/,True,reprodução,,,,,,,,,,
Marc Chagall,Litografia,1950.0,Pinturas,17.0,27.0,2013,1500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_98242.jpg,https://www.catalogodasartes.com.br/obra/PcGUG/,False,reprodução,,,,,,,,,,
Marc Chagall,Litografia sobre papel,,Pinturas,27.5,38.0,2010,1500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_47024.jpg,https://www.catalogodasartes.com.br/obra/UAeGU/,False,reprodução,,,,,,,,,,
Marc Chagall,Gravura,1963.0,Pinturas,49.0,49.0,2013,650.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_112239.jpg,https://www.catalogodasartes.com.br/obra/DDGGzP/,True,reprodução,,,,,,,,,,
Marc Chagall,Serigrafia,,Pinturas,27.0,37.0,2013,2000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_111027.jpg,https://www.catalogodasartes.com.br/obra/DDDeGA/,True,reprodução,,,,,,,,,,
Marc Chagall,Gravura,,Pinturas,30.0,40.0,2014,800.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_150868.jpg,https://www.catalogodasartes.com.br/obra/DBectc/,False,reprodução,,,,,,,,,,
Marc Chagall,Poster,,Pinturas,57.0,78.0,2013,400.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_95553.jpg,https://www.catalogodasartes.com.br/obra/PBBBz/,True,outro,,,,,,,,,,
Marc Chagall,Agua-forte,1948.0,Pinturas,24.0,31.0,2017,8300.0,https://catalogodashboard.pencillabs.com.br/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtXs-EaEYLi5Cbtqt2Dk_zR_MJ_i9QLl83FA&usqp=CAU,https://www.catalogodasartes.com.br/obra/ABGzDA/,True,reprodução,,,,,,,,,,
Marc Chagall,litogravura,,Pinturas,28.0,36.0,2011,5000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_54660.jpg,https://www.catalogodasartes.com.br/obra/BUtte/,False,reprodução,,,,,,,,,,
Marc Chagall,Litografia a cores,1956.0,Pinturas,26.0,36.0,2019,25000.0,https://catalogodashboard.pencillabs.com.br/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtXs-EaEYLi5Cbtqt2Dk_zR_MJ_i9QLl83FA&usqp=CAU,https://www.catalogodasartes.com.br/obra/PeezPA/,False,reprodução,,,,,,,,,,
Marc Chagall,Gravura em metal(água-forte)impressa sobre papel,,Pinturas,31.0,24.0,2007,16000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_3977.jpg,https://www.catalogodasartes.com.br/obra/zPAA/,True,reprodução,,,,,,,,,,
Marc Chagall,Agua-forte,1977.0,Pinturas,33.0,43.5,2018,4000.0,https://catalogodashboard.pencillabs.com.br/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtXs-EaEYLi5Cbtqt2Dk_zR_MJ_i9QLl83FA&usqp=CAU,https://www.catalogodasartes.com.br/obra/ctcGAP/,True,reprodução,,,,,,,,,,
Marc Chagall,Litografia,,Pinturas,22.0,28.0,2021,1800.0,https://catalogodashboard.pencillabs.com.br/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtXs-EaEYLi5Cbtqt2Dk_zR_MJ_i9QLl83FA&usqp=CAU,https://www.catalogodasartes.com.br/obra/PceeAP/,True,reprodução,,,,,,,,,,
Marc Chagall,Fotografia,,Fotografias,27.5,36.0,2016,1100.0,https://catalogodashboard.pencillabs.com.br/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtXs-EaEYLi5Cbtqt2Dk_zR_MJ_i9QLl83FA&usqp=CAU,https://www.catalogodasartes.com.br/obra/AzADBt/,True,outro,,,,,,,,,,
Marc Chagall,Litografia,,Pinturas,27.0,37.0,2013,350.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_123252.jpg,https://www.catalogodasartes.com.br/obra/DGzGBG/,True,reprodução,,,,,,,,,,
Marc Chagall,Poster,,Pinturas,36.0,53.0,2013,100.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_117678.jpg,https://www.catalogodasartes.com.br/obra/DDAtAc/,True,outro,,,,,,,,,,
Marc Chagall,Litografia,,Pinturas,27.0,37.0,2013,650.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_125015.jpg,https://www.catalogodasartes.com.br/obra/DGBeDB/,True,reprodução,,,,,,,,,,
Marc Chagall,Litografia,,Pinturas,25.0,32.0,2011,1500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_60546.jpg,https://www.catalogodasartes.com.br/obra/teBUt/,True,reprodução,,,,,,,,,,
Marc Chagall,Litografia a cores,,Pinturas,23.0,30.0,2012,1700.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_88094.jpg,https://www.catalogodasartes.com.br/obra/ccePU/,True,reprodução,,,,,,,,,,
Marc Chagall,Litografia off set,,Pinturas,56.0,80.0,2013,550.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_111185.jpg,https://www.catalogodasartes.com.br/obra/DDDDcB/,True,reprodução,,,,,,,,,,
Marc Chagall,Gravura,,Pinturas,55.0,37.0,2008,21000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_21162.jpg,https://www.catalogodasartes.com.br/obra/GDDtG/,True,reprodução,,,,,,,,,,
Marc Chagall,Agua-forte,1977.0,Pinturas,33.0,43.5,2018,4000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_868278.jpg,https://www.catalogodasartes.com.br/obra/ctcGAc/,True,reprodução,,,,,,,,,,
Marc Chagall,Impressão Gráfica,,Pinturas,83.0,58.0,2021,100.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_985717.jpg,https://www.catalogodasartes.com.br/obra/PcBADA/,False,reprodução,,,,,,,,,,
Marc Chagall,litogravura,,Pinturas,29.0,36.0,2013,3300.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_121653.jpg,https://www.catalogodasartes.com.br/obra/DGDtBz/,False,reprodução,,,,,,,,,,
Marc Chagall,Impressão serigráfica,,Pinturas,27.0,19.0,2009,2500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_38512.jpg,https://www.catalogodasartes.com.br/obra/zcBDG/,False,outro,,,,,,,,,,
Marc Chagall,Litografia a cores,,Pinturas,26.0,37.0,2016,550.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_742119.jpg,https://www.catalogodasartes.com.br/obra/AUGDDP/,True,reprodução,,,,,,,,,,
Marc Chagall,Lito offset,,Pinturas,42.0,56.0,2014,900.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_146182.jpg,https://www.catalogodasartes.com.br/obra/DUtDcG/,True,reprodução,,,,,,,,,,
Marc Chagall,Serigrafia,,Pinturas,42.0,56.0,2008,2900.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_21704.jpg,https://www.catalogodasartes.com.br/obra/GDAeU/,False,reprodução,,,,,,,,,,
Marc Chagall,Gravura,,Pinturas,26.0,36.0,2013,550.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_117787.jpg,https://www.catalogodasartes.com.br/obra/DDAAcA/,True,reprodução,,,,,,,,,,
Marc Chagall,litogravura,,Pinturas,28.0,36.0,2011,5000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_54659.jpg,https://www.catalogodasartes.com.br/obra/BUtBP/,True,reprodução,,,,,,,,,,
Marc Chagall,Gravura em metal,,Pinturas,30.0,40.0,2008,4100.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_16089.jpg,https://www.catalogodasartes.com.br/obra/DtecP/,True,reprodução,,,,,,,,,,
Marc Chagall,Litografia a cores sobre papel,1970.0,Pinturas,65.0,55.0,2006,10800.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_3833.jpg,https://www.catalogodasartes.com.br/obra/zczz/,True,reprodução,,,,,,,,,,
Marc Chagall,litogravura,,Pinturas,43.0,54.0,2014,500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_153832.jpg,https://www.catalogodasartes.com.br/obra/DBzczG/,False,reprodução,,,,,,,,,,
Marc Chagall,Técnica mista sobre papel,1958.0,Pinturas,37.0,47.0,2010,4000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_50686.jpg,https://www.catalogodasartes.com.br/obra/Betct/,False,outro,,,,,,,,,,
Marc Chagall,Lito,,Pinturas,26.0,36.0,2016,1750.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_722766.jpg,https://www.catalogodasartes.com.br/obra/AGGAtt/,True,outro,,,,,,,,,,
Marc Chagall,Serigrafia,,Pinturas,26.0,33.0,2013,1000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_131749.jpg,https://www.catalogodasartes.com.br/obra/DzDAUP/,True,reprodução,,,,,,,,,,
Marc Chagall,Litografia,1978.0,Pinturas,36.0,48.0,2015,7400.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_182968.jpg,https://www.catalogodasartes.com.br/obra/DcGPtc/,True,reprodução,,,,,,,,,,
Marc Chagall,Lito offset,,Pinturas,50.0,50.0,2014,625.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_146214.jpg,https://www.catalogodasartes.com.br/obra/DUtGDU/,True,reprodução,,,,,,,,,,
Marc Chagall,Litografia a cores,,Pinturas,26.0,35.0,2011,1500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_60543.jpg,https://www.catalogodasartes.com.br/obra/teBUz/,True,reprodução,,,,,,,,,,
Marc Chagall,Serigrafia,,Pinturas,34.0,46.0,2014,800.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_150853.jpg,https://www.catalogodasartes.com.br/obra/DBecBz/,False,reprodução,,,,,,,,,,
Marc Chagall,Serigrafia,,Pinturas,26.0,36.0,2014,800.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_150797.jpg,https://www.catalogodasartes.com.br/obra/DBeAPA/,False,reprodução,,,,,,,,,,
Marc Chagall,Litografia,,Pinturas,60.0,50.0,2014,400.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_146517.jpg,https://www.catalogodasartes.com.br/obra/DUtBDA/,True,reprodução,,,,,,,,,,
Jose Antonio da Silva,Óleo sobre Tela,1979.0,Pinturas,46.0,33.0,2007,3800.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1068.jpg,https://www.catalogodasartes.com.br/obra/Detc/,True,pintura,,,,,,,,,,
Aluisio Carvao,Óleo e areia sobre cartão colado em chapa de madeira industrial,,Pinturas,22.0,29.5,2002,12080.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_63.jpg,https://www.catalogodasartes.com.br/obra/tz/,True,pintura,,,,,,,,,,
Athos Bulc,Óleo sobre chapa de madeira industrializada,1967.0,Pinturas,65.0,37.5,2007,10100.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2489.jpg,https://www.catalogodasartes.com.br/obra/GUcP/,True,pintura,,,,,,,,,,
Dario Mecatti,Óleo sobre Tela,1974.0,Pinturas,40.0,100.0,2007,7000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2658.jpg,https://www.catalogodasartes.com.br/obra/GtBc/,False,pintura,,,,,,,,,,
Reynaldo Fonseca,Desenho,1983.0,Pinturas,17.0,23.0,2007,1300.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1678.jpg,https://www.catalogodasartes.com.br/obra/DtAc/,True,desenho,,,,,,,,,,
Candido Portinari,Óleo sobre madeira,,Pinturas,35.0,14.5,2017,300000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_746183.jpg,https://www.catalogodasartes.com.br/obra/AUtDcz/,True,pintura,,,,,,,,,,
Candido Portinari,Gravura em metal(água-forte)impressa sobre papel,,Pinturas,30.0,35.0,2013,6000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_130314.jpg,https://www.catalogodasartes.com.br/obra/DzezDU/,False,reprodução,,,,,,,,,,
Candido Portinari,Desenho a Lápis sobre papel,,Pinturas,16.0,17.5,2022,9500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1025347.jpg,https://www.catalogodasartes.com.br/obra/DeGBzUA/,False,desenho,,,,,,,,,,
,Acrílica sobre cartão,1234.0,Pinturas,,,2005,12345.44,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1591.jpg,https://www.catalogodasartes.com.br/obra/DBPD/,True,pintura,,,,,,,,,,
Di Cavalcanti,Óleo sobre Tela,1945.0,Pinturas,86.0,100.0,1997,588000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_338.jpg,https://www.catalogodasartes.com.br/obra/zzc/,True,pintura,,,,,,,,,,
Artur Barrio,Óleo sobre Tela,1987.0,Pinturas,100.0,100.0,2007,7900.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1887.jpg,https://www.catalogodasartes.com.br/obra/DccA/,True,pintura,,,,,,,,,,
Candido Portinari,Desenho a tinta sobre papel,1931.0,Pinturas,25.0,33.0,2010,50000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_47484.jpg,https://www.catalogodasartes.com.br/obra/UAUcU/,False,pintura,,,,,,,,,,
Candido Portinari,Óleo sobre madeira,1955.0,Pinturas,32.0,40.0,1997,99750.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_246.jpg,https://www.catalogodasartes.com.br/obra/GUt/,True,pintura,,,,,,,,,,
Alvim Correa,Óleo sobre Tela,1896.0,Pinturas,72.0,59.5,2005,10000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_535.jpg,https://www.catalogodasartes.com.br/obra/BzB/,False,pintura,,,,,,,,,,
Jose Ferraz de Almeida Junior,Lápis,,Pinturas,7.0,10.0,2007,2100.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2807.jpg,https://www.catalogodasartes.com.br/obra/GceA/,True,desenho,,,,,,,,,,
Joao Baptista da Costa,Óleo sobre Tela,1893.0,Pinturas,27.0,46.0,1997,17850.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1498.jpg,https://www.catalogodasartes.com.br/obra/DUPc/,True,pintura,,,,,,,,,,
Aldo Bonadei,Óleo sobre Tela,1964.0,Pinturas,59.5,66.5,2003,10000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1579.jpg,https://www.catalogodasartes.com.br/obra/DBAP/,True,pintura,,,,,,,,,,
Manabu Mabe,Óleo sobre Tela,1951.0,Pinturas,41.0,27.0,2007,7000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2611.jpg,https://www.catalogodasartes.com.br/obra/GtDD/,False,pintura,,,,,,,,,,
Candido Portinari,Desenho sobre papel,1947.0,Pinturas,19.0,23.0,2008,24000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_27130.jpg,https://www.catalogodasartes.com.br/obra/GADze/,False,desenho,,,,,,,,,,
Candido Portinari,Óleo sobre Tela,1944.0,Pinturas,60.0,74.0,2011,600000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_68131.jpg,https://www.catalogodasartes.com.br/obra/tcDzD/,False,pintura,,,,,,,,,,
Antonio Gon,Grafite sobre papel,1951.0,Pinturas,19.0,29.0,2007,2700.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_3139.jpg,https://www.catalogodasartes.com.br/obra/zDzP/,True,desenho,,,,,,,,,,
Angelo Rodrigo de Aquino,Vinil sobre tela e lona,1968.0,Pinturas,116.0,89.0,2007,5900.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_437.jpg,https://www.catalogodasartes.com.br/obra/UzA/,True,pintura,,,,,,,,,,
Manoel Santiago,Óleo sobre placa,1960.0,Pinturas,19.0,26.0,2007,3500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1083.jpg,https://www.catalogodasartes.com.br/obra/Decz/,False,pintura,,,,,,,,,,
Lucchesi,Técnica Mista,,Pinturas,40.0,40.0,2007,1400.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_3027.jpg,https://www.catalogodasartes.com.br/obra/zeGA/,True,outro,,,,,,,,,,
Marc Chagall,Litografia sobre papel,,Pinturas,41.0,54.0,2010,10000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_50615.jpg,https://www.catalogodasartes.com.br/obra/BetDB/,True,reprodução,,,,,,,,,,
Antonio Poteiro,Óleo sobre Tela,2004.0,Pinturas,100.0,90.0,2007,8000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2833.jpg,https://www.catalogodasartes.com.br/obra/Gczz/,False,pintura,,,,,,,,,,
Orlando Teruz,Óleo sobre Tela,1963.0,Pinturas,92.0,72.5,2007,18000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_710.jpg,https://www.catalogodasartes.com.br/obra/ADe/,False,pintura,,,,,,,,,,
Lothar Charoux,Guache,,Pinturas,9.0,25.0,2007,1000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_881.jpg,https://www.catalogodasartes.com.br/obra/ccD/,False,pintura,,,,,,,,,,
Siron Franco,Óleo sobre tela colada sobre madeira,1982.0,Pinturas,80.0,100.0,2003,31500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_195.jpg,https://www.catalogodasartes.com.br/obra/DPB/,True,pintura,,,,,,,,,,
Kazuo Wakabayashi,Óleo sobre Tela,1968.0,Pinturas,99.0,150.0,2007,18000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2232.jpg,https://www.catalogodasartes.com.br/obra/GGzG/,True,pintura,,,,,,,,,,
Joao Baptista da Costa,Óleo sobre madeira,1908.0,Pinturas,36.0,24.0,2001,35700.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1499.jpg,https://www.catalogodasartes.com.br/obra/DUPP/,True,pintura,,,,,,,,,,
Candido Portinari,Grafite e lápis de cor sobre papel,1959.0,Pinturas,10.5,21.0,2005,19000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_32738.jpg,https://www.catalogodasartes.com.br/obra/zGAzc/,True,desenho,,,,,,,,,,
Candido Portinari,Serigrafia,,Pinturas,50.0,70.0,2018,2000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_809922.jpg,https://www.catalogodasartes.com.br/obra/cePPGG/,False,reprodução,,,,,,,,,,
Kazuo Wakabayashi,Óleo sobre Tela,1993.0,Pinturas,50.0,50.0,2007,10000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1720.jpg,https://www.catalogodasartes.com.br/obra/DAGe/,False,pintura,,,,,,,,,,
Candido Portinari,Técnica Mista,,Pinturas,27.0,30.0,2013,30000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_130310.jpg,https://www.catalogodasartes.com.br/obra/DzezDe/,True,outro,,,,,,,,,,
Candido Portinari,Grafite sobre papel,1956.0,Pinturas,20.0,27.0,2017,25000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_752391.jpg,https://www.catalogodasartes.com.br/obra/ABGzPD/,False,desenho,,,,,,,,,,
Arc,Pastel,1980.0,Pinturas,28.0,16.0,2007,4500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1240.jpg,https://www.catalogodasartes.com.br/obra/DGUe/,True,pintura,,,,,,,,,,
Candido Portinari,Aquarela sobre papel,,Pinturas,17.5,25.5,2023,150000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1097523.jpg,https://www.catalogodasartes.com.br/obra/DePABGz/,False,pintura,,,,,,,,,,
Mario Zanini,Óleo sobre papel colado sobre madeira,1964.0,Pinturas,57.5,46.5,2001,10500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_841.jpg,https://www.catalogodasartes.com.br/obra/cUD/,True,pintura,,,,,,,,,,
Dimitri Ismailovitch,Óleo sobre Tela,1947.0,Pinturas,60.0,73.0,2007,4000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_589.jpg,https://www.catalogodasartes.com.br/obra/BcP/,True,pintura,,,,,,,,,,
Candido Portinari,Caneta hidrográfica,,Pinturas,18.5,25.0,2001,13130.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_298.jpg,https://www.catalogodasartes.com.br/obra/GPc/,True,desenho,,,,,,,,,,
Candido Portinari,Têmpera c/areia sobre tela,,Pinturas,80.0,181.0,2008,2700000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_20570.jpg,https://www.catalogodasartes.com.br/obra/GeBAe/,True,pintura,,,,,,,,,,
Candido Portinari,Caneta tinteiro sobre papel,1941.0,Pinturas,15.5,25.0,2013,4500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_134351.jpg,https://www.catalogodasartes.com.br/obra/DzUzBD/,False,desenho,,,,,,,,,,
Wim van Dijk,Óleo sobre Tela,1957.0,Pinturas,130.0,81.0,2007,4000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_719.jpg,https://www.catalogodasartes.com.br/obra/ADP/,False,pintura,,,,,,,,,,
Ana Goldberger,Acrílica sobre tela,2006.0,Pinturas,70.0,50.0,2007,1500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1987.jpg,https://www.catalogodasartes.com.br/obra/DPcA/,False,pintura,,,,,,,,,,
Pedro Americo de Figueiredo e Melo,Desenho,,Pinturas,25.0,36.0,2007,3000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1694.jpg,https://www.catalogodasartes.com.br/obra/DtPU/,False,desenho,,,,,,,,,,
Tadashi Kaminagai,Óleo sobre Tela,1950.0,Pinturas,45.0,54.0,2007,5500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2443.jpg,https://www.catalogodasartes.com.br/obra/GUUz/,True,pintura,,,,,,,,,,
Candido Portinari,Guache sobre papel,,Pinturas,41.5,42.0,2019,300000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_930819.jpg,https://www.catalogodasartes.com.br/obra/PzecDP/,False,pintura,,,,,,,,,,
Inima Jos,Óleo sobre Tela,1982.0,Pinturas,82.0,66.0,2007,22000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2556.jpg,https://www.catalogodasartes.com.br/obra/GBBt/,True,pintura,,,,,,,,,,
Alceu Lisboa,Acrílica sobre tela,,Pinturas,60.0,40.0,2007,1000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1757.jpg,https://www.catalogodasartes.com.br/obra/DABA/,False,pintura,,,,,,,,,,
Candido Portinari,Grafite sobre papel,,Pinturas,21.6,28.0,2014,16800.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_151391.jpg,https://www.catalogodasartes.com.br/obra/DBDzPD/,False,desenho,,,,,,,,,,
Inima Jos,Óleo sobre Tela,1982.0,Pinturas,50.0,40.0,2007,10000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1304.jpg,https://www.catalogodasartes.com.br/obra/DzeU/,True,pintura,,,,,,,,,,
Antonio Dias,Guache,1969.0,Pinturas,97.0,68.0,2007,7500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2263.jpg,https://www.catalogodasartes.com.br/obra/GGtz/,False,pintura,,,,,,,,,,
Fayga Ostrower,Aquarela sobre papel,1977.0,Pinturas,63.0,41.5,2007,800.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_636.jpg,https://www.catalogodasartes.com.br/obra/tzt/,True,pintura,,,,,,,,,,
Ant,Guache e aquarela,1955.0,Pinturas,64.0,49.0,1999,20480.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1408.jpg,https://www.catalogodasartes.com.br/obra/DUec/,True,pintura,,,,,,,,,,
Mick Carnicelli,Óleo sobre Tela,1938.0,Pinturas,70.0,55.0,2007,4500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2603.jpg,https://www.catalogodasartes.com.br/obra/Gtez/,False,pintura,,,,,,,,,,
Jacques Villon,Gravura em metal(ponta seca),1960.0,Pinturas,19.0,25.0,2007,1000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_753.jpg,https://www.catalogodasartes.com.br/obra/ABz/,False,reprodução,,,,,,,,,,
Candido Portinari,Óleo sobre madeira,1958.0,Pinturas,23.0,33.0,2010,300000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_44334.jpg,https://www.catalogodasartes.com.br/obra/UUzzU/,False,pintura,,,,,,,,,,
Yara Tupynamba,Acrílica sobre tela,1991.0,Pinturas,40.0,50.0,2007,2600.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2988.jpg,https://www.catalogodasartes.com.br/obra/GPcc/,True,pintura,,,,,,,,,,
Candido Portinari,Nanquim e bico de pena,1931.0,Pinturas,51.0,38.0,2017,100000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_745733.jpg,https://www.catalogodasartes.com.br/obra/AUBAzz/,False,desenho,,,,,,,,,,
Candido Portinari,Gravura em metal,1943.0,Pinturas,18.0,25.0,2020,1800.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_973263.jpg,https://www.catalogodasartes.com.br/obra/PAzGtz/,False,reprodução,,,,,,,,,,
