Artist,Technique,Year,Type,Width (cm),Height (cm),Year of sale,Price (BRL),img_url,url,Sold,Technique_fix,Título,Década,Error,Descrição,Século,artist_link,Fonte de Pesquisa,Width,Height,Price (USD)
Vicente do Rego Monteiro,Aquarela e nanquim,,Pinturas,,,1998,7350.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1434.jpg,https://www.catalogodasartes.com.br/obra/DUzU/,True,,Lua,20.0,False,,20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Bolsa de Arte do Rio de Janeiro,10.0,30.0,6024.59
Vicente do Rego Monteiro,Aquarela e nanquim,,Pinturas,,,2011,82000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_61534.jpg,https://www.catalogodasartes.com.br/obra/tDBzU/,True,,Lua,20.0,False,"Participou da exposição ""Quando o Brasil era moderno"", 7 dez 2000 a 25 mar 2001, Rio, Paço Imperial. aquarela e nanquim assinado e datado 1920, superior esquerdo. Esta obra entro em pregão com lance inicial de R$ 30.000,00",20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Bolsa de Arte leilão 01/09/2011,10.0,30.0,50306.75
Vicente do Rego Monteiro,Óleo sobre cartão,,Pinturas,,,2020,8000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_944057.jpg,https://www.catalogodasartes.com.br/obra/PUUeBA/,False,,Sem título,,False,Vicente do Rego Monteiro - Quadro óleo sobre cartão 18x22cm com moldura - Texto transcrito do catálogo do leilão.,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Arte Maior 21 de Julho de 2020,22.0,18.0,1500.94
Vicente do Rego Monteiro,Óleo sobre eucatex,,Pinturas,,,2012,120000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_73319.jpg,https://www.catalogodasartes.com.br/obra/AzzDP/,False,,Sem título,60.0,False,Assinado no canto inferior esquerdo.(Este quadro será reproduzido no livro do artista - Um olhar sobre a década de 60 - de Leonardo Dantas e Jacob Kalintowitz).,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Pro Arte,92.0,122.0,70175.44
Vicente do Rego Monteiro,Óleo diluído sobre cartão,,Pinturas,,,2012,60000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_91810.jpg,https://www.catalogodasartes.com.br/obra/PDcDe/,False,,Mulher com violino,,False,Ex-coleção Lucienne Geo Charles - Paris,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Palácio dos leiloes dezembro de 2012,44.0,53.0,28436.02
Vicente do Rego Monteiro,Óleo diluído sobre cartão,,Pinturas,,,2014,100000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_155971.jpg,https://www.catalogodasartes.com.br/obra/DBBPAD/,False,,Mulher com Violino,,False,Mulher com Violino 55x46 cm óleo diluído sobre cartão ass. inf. dir. s/d Ex-coleção de Luciènne Géo-Charles (Madame Charles Guyot). - Texto transcrito do catálogo do leilão.,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão James Lisboa 01 e 02 de Dezembro de 2014,46.0,55.0,39215.69
Vicente do Rego Monteiro,Lápis de cor,,Pinturas,,,2014,45000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_144831.jpg,https://www.catalogodasartes.com.br/obra/DUUczD/,False,,O menino e o cavalo,20.0,False,O menino e o cavalo lápis de cor - 21 x 18 1924 ACID - Texto transcrito do catálogo do leilão.,20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Vitor Braga 27 de Maio de 2014,18.0,21.0,20270.27
Vicente do Rego Monteiro,Acrílica sobre tela,,Pinturas,,,2008,350000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_23169.jpg,https://www.catalogodasartes.com.br/obra/GzDtP/,False,,Lêda e o Cisne,60.0,False,Participou de Exposição na Ranulpho Galeria de Arte. Este quadro pertencia ao acervo da Família de Vicente do Rego Monteiro. Possui autenticidade da Galeria Ranulpho.,20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Errol Flynn Agosto de 2008.,125.0,95.0,200000.0
Vicente do Rego Monteiro,Acrílico sobre tela,,Pinturas,,,2021,360000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_979614.jpg,https://www.catalogodasartes.com.br/obra/PAPtDU/,False,,"O circo, Circa",60.0,False,"VICENTE DO RÊGO MONTEIRO Recife, 1899 -1970 “O circo, Circa 1960”. Acrílico s/ tela Obra reproduzida no livro ""Vicente do Rego Monteiro Olhar sobre a década de 1960"" por Jacob Klintowitz na pág. 27 125 x 186 cm - Texto transcrito do catálogo do leilão.",20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão TNT 15 e 16 de Março de 2021,186.0,125.0,64285.71
Vicente do Rego Monteiro,Óleo sobre Tela,,Pinturas,,,2015,187000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_165742.jpg,https://www.catalogodasartes.com.br/obra/DtBAUG/,False,,Os Quarto mestres do Infinito,60.0,False,Assinatura Superior Esquerdo.,20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Canvas Galeria de Arte 26 de Maio de 2015,100.0,102.0,59935.9
Vicente do Rego Monteiro,Óleo sobre Tela,,Pinturas,,,2015,125000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_168180.jpg,https://www.catalogodasartes.com.br/obra/DtcDce/,False,,Vendedor de Frutas,,False,Vendedor de Frutas 70 x 80 cm óleo sobre tela ass. sup. dir. - Texto transcrito do catálogo do leilão.,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão James Lisboa 29 e 30 de Junho de 2015,80.0,70.0,40064.1
Vicente do Rego Monteiro,Acrílica sobre tela colada sobre madeira,,Pinturas,,,2004,270000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1425.jpg,https://www.catalogodasartes.com.br/obra/DUGB/,True,,A Conquista da Lua,60.0,False,"ass. dat. 20.7.1969 sup. esq. Reproduzido nos livros: Vicente Inventor, p.51 Record. Mec-Funarte de Walmir Ayala e Vicente do Rego Monteiro - Pintor e Poeta, p.87- 5º Editores -1994. Com etiqueta da Fundação Armando Álvares Penteado no verso. - 106x130 cm",20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Bolsa de Arte do Rio de Janeiro,130.0,106.0,93103.45
Vicente do Rego Monteiro,Óleo sobre Tela,,Pinturas,,,2015,155000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_163189.jpg,https://www.catalogodasartes.com.br/obra/DtzDcP/,False,,Figura com balança,60.0,False,Figura com balança - ost déc. 60 - 68 x 76 - Texto transcrito do catálogo do leilão.,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Firenze 15 de Abril de 2015,76.0,68.0,50324.68
Vicente do Rego Monteiro,Óleo sobre madeira,,Pinturas,,,2012,44000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_88744.jpg,https://www.catalogodasartes.com.br/obra/ccAUU/,True,,Figura Feminina,20.0,False,"com certificado de autenticidade apresentado por Walter Zanini - Esta obra entrou em leilão com o lance inicial de R$30.000,00",20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Casa 8 Novembro de 2012,24.5,33.0,21674.88
Vicente do Rego Monteiro,Óleo sobre Tela,,Pinturas,,,2018,5500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_854548.jpg,https://www.catalogodasartes.com.br/obra/cBUBUc/,True,,Natureza Morta,,False,"Natureza Morta - óleo sobre tela - 31,5 x 22 cm - ACIE (Coleção do Professor e Dr. Luiz Fernando da Costa e Silva). - Texto transcrito do catálogo do leilão. - Esta obra entrou em leilão com o lance inicial de R$ 5.500,00",,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Victor Hugo 24 a 26 de Julho de 2018,22.0,31.5,1458.89
Vicente do Rego Monteiro,Óleo sobre Tela,,Pinturas,,,2021,88000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_984874.jpg,https://www.catalogodasartes.com.br/obra/PcUcAU/,False,,Sem Título,,False,"Vicente do Rêgo Monteiro Recife, 1899 -1970 “Sem titulo”. Óleo s/ tela Ass. Sup. direito Obra verificada por Ranulph Galeria de Arte 49 x 69 cm - Texto transcrito do catálogo do leilão.",,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão TNT Arte 29 e 30 de Junho de 2021,69.0,49.0,17813.77
Vicente do Rego Monteiro,monotipia,,Pinturas,,,2000,3150.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1439.jpg,https://www.catalogodasartes.com.br/obra/DUzP/,True,,Abstração,50.0,False,,20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Bolsa de Arte do Rio de Janeiro,28.5,38.5,1575.0
Vicente do Rego Monteiro,Óleo sobre Tela,,Pinturas,,,2013,180000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_114607.jpg,https://www.catalogodasartes.com.br/obra/DDUteA/,False,,A Vigília,50.0,False,A Vigília 80 x 50 cm óleo sobre tela ass. sup. esq. déc. 50 Etiqueta da Galeria José Duarte Aguiar e Ricardo Camargo.,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão James Lisboa 25 de Junho de 2013,50.0,80.0,80000.0
Vicente do Rego Monteiro,Óleo sobre Tela,,Pinturas,,,2013,550000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_110112.jpg,https://www.catalogodasartes.com.br/obra/DDeDDG/,False,,Sem Título,,False,Sem título óleo sobre tela 70 x 68 cm assinada no canto inferior esquerdo,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Aloisio Cravo 20 de Maio de 2013,68.0,70.0,275000.0
Vicente do Rego Monteiro,Nanquim,,Pinturas,,,2009,24000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_38939.jpg,https://www.catalogodasartes.com.br/obra/zcPzP/,False,,Sem título,,False,Reproduzido no catálogo da Bolsa de Arte - Maio de 2009.,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão TNT de Primavera 30 de setembro de 2009,77.0,57.0,12307.69
Vicente do Rego Monteiro,Óleo diluído sobre cartão,,Pinturas,,,2008,40000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_33619.jpg,https://www.catalogodasartes.com.br/obra/zztDP/,False,,Menino e Ovelha,,False,Ex-coleção de Luciènne Géo-Charles (Madame Charles Guyot) - Paris.,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão James Lisboa - Novembro 2008,55.0,46.0,18181.82
Vicente do Rego Monteiro,Grafite sobre papel,,Pinturas,,,2013,25000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_114757.jpg,https://www.catalogodasartes.com.br/obra/DDUABA/,False,,Índio,20.0,False,Índio 28 x 38 cm grafite sobre papel ass. inf. esq. 1921 Autenticado por Marcelle Monteiro.,20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão James Lisboa 25 de Junho de 2013,38.0,28.0,11111.11
Vicente do Rego Monteiro,Aquarela,,Pinturas,,,2020,4250.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_931751.jpg,https://www.catalogodasartes.com.br/obra/PzDABD/,False,,"Enlaçado ao jarro, GATO",,False,"VICENTE REGO MONTEIRO - Enlaçado ao jarro, GATO, incrível forma delineada em tons pasteis esta aquarela define a arte deste mestre. A.S.C med. 32 X 52,5 cm. - Texto transcrito do catálogo do leilão.",,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Quadrilátero 22 de Janeiro de 2020,52.5,32.0,1009.5
Vicente do Rego Monteiro,Óleo sobre Tela,,Pinturas,,,2010,395000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_51265.jpg,https://www.catalogodasartes.com.br/obra/BDGtB/,False,,Lêda e o Cisne,60.0,False,,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Errol Flyn Galeria de Artes,125.0,95.0,237951.81
Vicente do Rego Monteiro,Acrílica sobre tela,,Pinturas,,,2007,40000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_10041.jpg,https://www.catalogodasartes.com.br/obra/DeeUD/,False,,Aguadeiro,30.0,False,,20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Bolsa de Arte leilão 22 de novembro de 2007,63.0,50.0,20304.57
Vicente do Rego Monteiro,Óleo sobre Tela,,Pinturas,,,2015,110000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_709270.jpg,https://www.catalogodasartes.com.br/obra/AePGAe/,False,,A Ceramista,,False,"A Ceramista. Óleo sobre tela, 79 x 47 cm. Assinado em cima, à esquerda: V. Monteiro. Participante da exposição realizada em agosto de 1994, por Ranulpho Galeria de Arte, em Recife, PE. - Texto transcrito do catálogo do leilão.",,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Dutra 17 de Dezembro de 2015,47.0,79.0,27989.82
Vicente do Rego Monteiro,Óleo sobre placa,,Pinturas,,,2017,180000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_775913.jpg,https://www.catalogodasartes.com.br/obra/AABPDz/,False,,Batismo de Cristo,,False,Batismo de Cristo 98 x 74 cm óleo sobre placa ass. inf. esq. - Texto transcrito do catálogo do leilão.,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão James Lisboa 27 a 29 de Novembro de 2017,74.0,98.0,55900.62
