Year,artist_link,Descrição,Fonte de Pesquisa,Error,Type,Século,Artist,Título,url,Década,img_url,Technique,Height (cm),Width (cm),Price (BRL),Price (USD),Technique_fix,Sold,Year of sale
1980.0,https://www.catalogodasartes.com.br/cotacao/artista/Roberto%20Burle%20Marx/,,Soraia Cals Escritório de Arte,False,Pinturas,20.0,Roberto Burle Marx,Da série Erótica XX,https://www.catalogodasartes.com.br/obra/zcD/,80.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_381.jpg,Nanquim sobre papel,76.0,57.0,3800.0,1719.46,desenho,True,2007
1970.0,https://www.catalogodasartes.com.br/cotacao/artista/Aldo%20Bonadei/,,Bolsa de Arte do Rio de Janeiro,False,Pinturas,20.0,Aldo Bonadei,Paisagem,https://www.catalogodasartes.com.br/obra/DBBB/,70.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1555.jpg,Óleo sobre Tela,65.5,50.0,70000.0,24137.93,pintura,True,2003
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,"Esta obra de arte/objeto não foi vendida durante o leilão. O Catálogo das Artes não recebe informações de obras vendidas posteriormente. Pexiglass contendo 4 obras, exemplar 753/1500.",Aloisio Cravo leilão Abril de 2012,False,Esculturas/Objetos,,Victor Vasarely,Hexagone,https://www.catalogodasartes.com.br/obra/ABAeD/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_75701.jpg,Plexiglass,30.0,26.0,10000.0,5494.51,outro,False,2012
1954.0,https://www.catalogodasartes.com.br/cotacao/artista/Ant%C3%B4nio%20Bandeira%20%281922-1967%29/,ass. situado Capri dat. 1954 inf. dir.,Bolsa de Arte do Rio de Janeiro,False,Pinturas,20.0,Ant,Sem Título,https://www.catalogodasartes.com.br/obra/DUDc/,50.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1418.jpg,Aquarela,59.0,45.0,23100.0,7000.0,pintura,True,2002
,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"Portinari, Candido. Colheita de Café. Giclée, 40 cm x 44,5 cm. Acompanha Repografia Certificada Recriar. - Texto transcrito do catálogo do leilão. - Esta obra entrou em leilão com o lance inicial de R$5.000,00",Leilão Dutra 24 a 26 de Maio de 2022,False,Pinturas,,Candido Portinari,Colheita de Café,https://www.catalogodasartes.com.br/obra/DeGBUPD/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1025491.jpg,Giclée,44.5,40.0,5000.0,1033.06,reprodução,True,2022
,https://www.catalogodasartes.com.br/cotacao/artista/Marc%20Chagall/,36/50.,Leilão de Arte M.Mizrahi Fevereiro de 2008,False,Pinturas,,Marc Chagall,s/t,https://www.catalogodasartes.com.br/obra/GDAeU/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_21704.jpg,Serigrafia,42.0,56.0,2900.0,1576.09,reprodução,False,2008
,https://www.catalogodasartes.com.br/cotacao/artista/Di%20Cavalcanti%20%281897-1976%29/,"serigrafia impressa s/ papel, ass. na chapa inf. dir., ass. num. 59/150 e tit. inf. esq. e catalogada sob o n. BR 8967 da Galeria Bonino no verso",Soraia Cals/Evandro Carneiro Leilões,False,Pinturas,,Di Cavalcanti,O Beijo,https://www.catalogodasartes.com.br/obra/GBcB/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2585.jpg,Serigrafia sobre papel,23.0,13.5,650.0,325.0,reprodução,True,2007
1951.0,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"Homem Sentado e Mulher - Grafite e lápis de cor s/ papel, 27 x 18,2 cm, - ass. inferior direito, dat. 1951 - Registrado no Projeto Portinari, FCO 764 - Texto transcrito do catálogo do leilão.",Leilão Canvas 19 de Janeiro de 2016,False,Pinturas,20.0,Candido Portinari,Homem Sentado e Mulher,https://www.catalogodasartes.com.br/obra/AePzAU/,50.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_709374.jpg,Grafite e lápis de cor sobre papel,18.2,27.0,16500.0,4094.29,desenho,False,2016
2002.0,https://www.catalogodasartes.com.br/cotacao/artista/Siron%20Franco%20%281947%29/,,Vitor Braga Leiloes,False,Pinturas,21.0,Siron Franco,Ancestral,https://www.catalogodasartes.com.br/obra/DcBB/,0.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1855.jpg,Óleo sobre Tela,50.0,50.0,2900.0,1450.0,pintura,False,2007
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,"Victor Vasarely - Sem título 37/90. Serigrafia, 70x57 cm, A.C.I.D. - Texto transcrito do catálogo do leilão.",Leilão Espaço Arte Mizrahi 11 de Dezembro 2018,False,Pinturas,,Victor Vasarely,Sem Título,https://www.catalogodasartes.com.br/obra/ctAPAB/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_867975.jpg,Serigrafia,57.0,70.0,3900.0,997.44,reprodução,False,2018
