Year,artist_link,Descrição,Fonte de Pesquisa,Type,Artist,Título,url,img_url,Medium,Error,0,0.1,0.2,0.3,0.4,Height (cm),Width (cm),Price (BRL),Price (USD),Medium_type,Sold,Year of sale
,https://www.catalogodasartes.com.br/cotacao/artista/Di%20Cavalcanti%20%281897-1976%29/,"Flores - Serigrafia com intervenção a guache, 47 x 32 cm. Assinado no cid e cie. - Esta obra entrou em leilão com o lance inicial de R$1.500,00",Leilão Villa Antica 08 de Outubro de 2013,Pinturas,Di Cavalcanti (1897-1976),Flores,https://www.catalogodasartes.com.br/obra/DGtzPz/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_126393.jpg,Serigrafia,False,,,,,,32.0,47.0,1500.0,681.82,reprodução,True,2013
1980.0,https://www.catalogodasartes.com.br/cotacao/artista/Milton%20Dacosta/,"Esta obra entrou em pregão com o lance inicial de R$ 13.000,00",Leilão Pro Arte Galeria - novembro 2008,Pinturas,Milton Dacosta,Vênus,https://www.catalogodasartes.com.br/obra/zDGPz/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_31293.jpg,Óleo sobre Tela,False,,,,,,27.0,22.0,14500.0,6590.91,pintura,True,2008
,https://www.catalogodasartes.com.br/cotacao/artista/Di%20Cavalcanti%20%281897-1976%29/,"Emiliano Di Cavalcanti (1897 - 1976) - Figuras - Serigrafia sobre papel 65/100 - 48 x 40 cm - Assinado e seriado embaixo - Texto transcrito do catálogo do leilão. - Esta obra entrou em leilão com o lance inicial de R$ 1.700,00",Leilão Blombô 06 de Outubro de 2022,Pinturas,Di Cavalcanti (1897-1976),Figuras,https://www.catalogodasartes.com.br/obra/DetAAec/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1067708.jpg,Serigrafia sobre papel,False,,,,,,40.0,48.0,1700.0,327.55,reprodução,True,2022
1954.0,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,Festa - Gravura retirada do Álbum MESTRES DO DESENHO apresentado por CARLOS DRUMMOND DE ANDRADE com 500 exemplares numerado de 3300/ 3201 - 47x33cm - ACID 1954 - Texto transcrito do catálogo do leilão.,Leilão Auriflama 30 de Janeiro de 2015,Pinturas,Candido Portinari (1903-1962),Festa,https://www.catalogodasartes.com.br/obra/DBPDGB/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_159125.jpg,Gravura,False,,,,,,33.0,47.0,200.0,76.92,reprodução,False,2015
1952.0,https://www.catalogodasartes.com.br/cotacao/artista/Ant%C3%B4nio%20Bandeira%20%281922-1967%29/,"Com inscrição na tela ""Natal 52 - 53 Ano Novo"". Esta obra entrou em pregão com o lance inicial de R$2.200,00",Leilão TNT Maio de 2010,Pinturas,Antônio Bandeira (1922-1967),s/t,https://www.catalogodasartes.com.br/obra/UUAAt/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_44776.jpg,Aquarela,False,,,,,,10.0,16.0,2500.0,1282.05,pintura,True,2010
1947.0,https://www.catalogodasartes.com.br/cotacao/artista/Tarsila%20do%20Amaral%20/,"""Estudo de ilustração para o livro 'Antônio Triste' Nanquim sobre papel. Ass. inf. dir. (c. 1947). 11 x 14 cm. Ex. Coleção Renee Sasson. Esta obra entrou em leilão com o lance inicial de R$7.000,00",Leilão Lordello e Gobbi 02 de Setembro de 2013,Pinturas,Tarsila do Amaral,Estudo de ilustração para o livro 'Antônio Triste',https://www.catalogodasartes.com.br/obra/DGGDtt/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_122166.jpg,Nanquim sobre papel,False,,,,,,14.0,11.0,7000.0,2953.59,desenho,True,2013
1979.0,https://www.catalogodasartes.com.br/cotacao/artista/Jos%C3%A9%20Pancetti%20-%20Giuseppe%20Gianinni%20Pancetti%20-%20Jose%20Pancetti/,"""""Árvores - Campos do Jordão"" Óleo sobre cartão colado em madeira. C.1949). Ass. inf. esq. 46 x 32 cm. Reproduzido na pág.196 do livro ""Pancetti o Pintor Marinheiro"" Fundação Conquista - Rio de Janeiro - 1979. Reproduzido no catálogo da exposição ""Pancetti Um Pintor Pintor"" - Arte do Brasil. Eduardo da Rocha Azevedo e Raul de Souza Dantas Forbes - São Paulo - 1997. - Texto transcrito do catálogo do leilão. - Esta obra entrou em leilão com o lance inicial de R$ 60.000,00",Leilão Lordello Gobbi 27 de Junho de 2017,Pinturas,José Pancetti - Giuseppe Gianinni Pancetti - Jose Pancetti,Árvores - Campos do Jordão,https://www.catalogodasartes.com.br/obra/ABUUet/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_754406.jpg,Oleo sobre cartão colado sobre madeira,False,,,,,,32.0,46.0,70000.0,21148.04,outro,True,2017
1928.0,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"Situado São Paulo e com a dedicatória ""Ao Sr. Alarcon, com muita sympathia C. Portinari S. Paulo 928"" sup. dir.",Soraia Cals Leilão maio/2004,Pinturas,Candido Portinari (1903-1962),Regata,https://www.catalogodasartes.com.br/obra/tUAt/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_6476.jpg,Óleo sobre Tela,False,,,,,,54.0,46.5,255000.0,87931.03,pintura,True,2004
1921.0,https://www.catalogodasartes.com.br/cotacao/artista/Tarsila%20do%20Amaral%20/,"Reproduções: Livro Tarsila, Art Editora/Circulo do livro, página 27 e Catálogo Raisonné Tarsila do Amaral Vol. 1, página 75 sob nº P028. Citação: Livro Tarsila sua obra e seu tempo vol. 1- Aracy Amaral, página 38. Ficha técnica: Livro Tarsila sua obra e seu tempo vol. 2, página 12.",Leilão Aloísio Cravo 19 de abril de 2010.,Pinturas,Tarsila do Amaral,Velho em pé,https://www.catalogodasartes.com.br/obra/UUcAP/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_44879.jpg,Óleo sobre Tela,False,,,,,,51.0,74.8,300000.0,157894.74,pintura,False,2010
1959.0,https://www.catalogodasartes.com.br/cotacao/artista/Ant%C3%B4nio%20Bandeira%20%281922-1967%29/,"Esta obra entrou em pregão com o lance inicial de R$8.000,00",Leilão Palácio dos leilões Junho de 2011,Pinturas,Antônio Bandeira (1922-1967),s/t,https://www.catalogodasartes.com.br/obra/BPUUU/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_59444.jpg,Óleo sobre madeira,False,,,,,,33.0,25.0,9500.0,5722.89,pintura,True,2011
