Contemporâneo,Figurativo,Pop,Moderno,Conceitual,Abstrato,Retrato,Surrealista,Outro Tema,Paisagem,Natureza,Clássico,Realista,Minimalista,Expressionista,Vintage,Streetart,Impressionista,Pintura,Gravura,Técnica Mista,Outra Técnica,Desenho,Escultura,Fotografia,Livro,Colorido,Monocromático,Size,Price,Artist,Title,Image_Url,Marketplace
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,2852.0,2500.0,Alberto Martins,Sem título,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/6163/3HsKuRYKoJM9CBowIAY8lL23032022074038.webp,Artsoul
True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,7200.0,6400.0,Anete Ring,Sem título - Série Flutuantes AB-11,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/2301/ZC47sqoCU0UCJzRj9SZvrq23032022013953.webp,Artsoul
True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,9600.0,6000.0,David Diaz Gonzales,Señora Dominga,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/16511/vdCKn0zqxBpdw8tKlV3hDW14102022173658.webp,Artsoul
True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,486.0,2000.0,Júlia Goeldi,Sem título,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/6086/JsLfFmB7IVBgp7q9GZhvPB23032022073613.webp,Artsoul
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1925.0,6000.0,JACQUELINE ARONIS,Cosmos,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/15994/NcGo1jMnxnud6AUTqTI8xy05082022162720.webp,Artsoul
False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1734.0,2000.0,Aldemir Martins,Sem título,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/6831/wL4mQPm012knf0sv774PVC23032022082657.webp,Artsoul
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2400.0,4000.0,Nino Cais,Nymph and Naiad,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/3212/4s77BHfk50ZajmhsL6AUwK23032022031539.webp,Artsoul
False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,2014.0,3500.0,Francisco Rebolo,Sem título,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/5010/RiMap1jj3rCEjLBuNeQ8N012052023122134.webp,Artsoul
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,5846.0,7500.0,Teresa Berlinck,Jardim das Tres Orelhas,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/5447/okyGzV4bsDU1O8fXx2E1N623032022070102.webp,Artsoul
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6693.0,7500.0,Guga Ferraz,Meninos de ouro,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/16059/mUn1XkHUCXkPNUH2zwkWYx10082022173735.webp,Artsoul
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,8000.0,20000.0,Magliani,Magliani - Na Madrugada Insone - Técnica mista,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/17446/H6CraQdTaBEJTvmVNR7gQy02052023154415.webp,Artsoul
